"Condition_Num","booklet","correct","correct_response","passage","response","response_time"
"2","2","undefined","NA","1","space","4030"
"2","2","undefined","NA","1","space","4574"
"2","2","undefined","NA","1","space","19981"
"2","2","undefined","NA","1","y","4249"
"2","2","undefined","NA","1","space","18633"
"2","2","undefined","NA","1","n","2442"
"2","2","undefined","NA","1","space","3910"
"2","2","undefined","NA","1","space","1628"
"2","2","undefined","NA","1","space","4695"
"2","2","undefined","NA","1","space","3681"
"2","2","undefined","NA","1","space","2275"
"2","2","undefined","NA","1","space","3350"
"2","2","undefined","NA","1","space","4175"
"2","2","undefined","NA","1","space","5795"
"2","2","undefined","NA","1","space","4415"
"2","2","undefined","NA","1","space","4019"
"2","2","undefined","NA","1","space","2743"
"2","2","undefined","NA","1","space","4498"
"2","2","undefined","NA","1","space","8222"
"2","2","undefined","NA","1","space","9975"
"2","2","undefined","NA","1","space","7474"
"2","2","undefined","NA","1","space","2450"
"2","2","undefined","NA","1","space","2311"
"2","2","undefined","NA","1","space","2753"
"2","2","undefined","NA","1","space","2073"
"2","2","undefined","NA","1","space","2646"
"2","2","undefined","NA","1","space","5074"
"2","2","undefined","NA","1","y","9417"
"2","2","undefined","NA","1","space","6866"
"2","2","undefined","NA","1","space","5518"
"2","2","undefined","NA","1","n","3579"
"2","2","undefined","NA","1","space","9571"
"2","2","undefined","NA","1","y","2971"
"2","2","undefined","NA","1","space","6863"
"2","2","undefined","NA","1","n","3114"
"2","2","undefined","NA","1","space","2257"
"2","2","undefined","NA","1","space","4655"
"2","2","undefined","NA","1","space","3073"
"2","2","undefined","NA","1","space","3314"
"2","2","undefined","NA","1","space","2066"
"2","2","undefined","NA","1","space","5190"
"2","2","undefined","NA","1","space","4537"
"2","2","undefined","NA","1","space","3359"
"2","2","undefined","NA","1","space","6208"
"2","2","undefined","NA","1","space","5621"
"2","2","undefined","NA","1","space","7072"
"2","2","undefined","NA","1","n","3114"
"","","1","b","1","b","6795"
"","","1","a","1","a","6832"
"","","1","e","1","e","6194"
"","","1","c","1","c","7215"
"","","1","b","1","b","18309"
"","","1","e","1","e","9741"
"","","0","b","1","e","17486"
"","","1","a","1","a","12974"
"1","2","0","a","2","space","1608"
"1","2","0","a","2","space","5148"
"1","2","0","a","2","space","1833"
"1","2","0","a","2","space","3936"
"1","2","0","a","2","space","7215"
"1","2","0","a","2","space","6685"
"1","2","0","a","2","space","4672"
"1","2","0","a","2","space","8364"
"1","2","0","a","2","space","11923"
"1","2","0","a","2","y","3241"
"1","2","0","a","2","space","3121"
"1","2","0","a","2","space","5087"
"1","2","0","a","2","space","7361"
"1","2","0","a","2","n","4058"
"1","2","0","a","2","space","5919"
"","","1","c","2","c","8232"
"","","1","d","2","d","5935"
"","","0","d","2","c","9984"
"","","1","e","2","e","8070"
"2","2","0","e","3","space","1753"
"2","2","0","e","3","space","2472"
"2","2","0","e","3","space","1795"
"2","2","0","e","3","space","8353"
"2","2","0","e","3","space","14225"
"2","2","0","e","3","space","3056"
"2","2","0","e","3","space","945"
"2","2","0","e","3","space","6622"
"2","2","0","e","3","y","4106"
"2","2","0","e","3","space","6571"
"2","2","0","e","3","space","4100"
"2","2","0","e","3","space","6859"
"2","2","0","e","3","space","6778"
"2","2","0","e","3","n","1914"
"","","1","c","3","c","11515"
"","","0","d","3","a","11050"
"","","1","c","3","c","9472"
"","","0","e","3","a","7983"
"1","2","0","e","4","space","3751"
"1","2","0","e","4","space","10918"
"1","2","0","e","4","space","7333"
"1","2","0","e","4","space","1349"
"1","2","0","e","4","space","931"
"1","2","0","e","4","space","1299"
"1","2","0","e","4","space","1955"
"1","2","0","e","4","space","3409"
"1","2","0","e","4","space","7834"
"1","2","0","e","4","y","2409"
"1","2","0","e","4","space","7492"
"1","2","0","e","4","n","2841"
"1","2","0","e","4","space","13449"
"1","2","0","e","4","n","2058"
"1","2","0","e","4","space","3852"
"1","2","0","e","4","y","3386"
"1","2","0","e","4","space","5010"
"1","2","0","e","4","space","15212"
"","","1","b","4","b","9290"
"","","1","a","4","a","6847"
"","","1","a","4","a","10306"
"","","1","d","4","d","8415"
"2","2","0","d","5","space","1426"
"2","2","0","d","5","space","18862"
"2","2","0","d","5","space","5694"
"2","2","0","d","5","space","8294"
"2","2","0","d","5","space","4950"
"2","2","0","d","5","space","4176"
"2","2","0","d","5","space","4515"
"2","2","0","d","5","n","3354"
"2","2","0","d","5","space","1854"
"2","2","0","d","5","space","6608"
"2","2","0","d","5","n","2042"
"2","2","0","d","5","space","1731"
"2","2","0","d","5","space","2131"
"2","2","0","d","5","space","5071"
"2","2","0","d","5","space","2414"
"2","2","0","d","5","space","5168"
"2","2","0","d","5","y","7194"
"2","2","0","d","5","space","6239"
"","","1","b","5","b","19895"
"","","0","b","5","c","5216"
"","","1","c","5","c","6378"
"","","0","d","5","b","13333"
"1","2","0","d","6","space","1558"
"1","2","0","d","6","space","1573"
"1","2","0","d","6","n","2217"
"1","2","0","d","6","space","5934"
"1","2","0","d","6","space","1415"
"1","2","0","d","6","space","4637"
"1","2","0","d","6","space","2578"
"1","2","0","d","6","space","5472"
"1","2","0","d","6","space","6735"
"1","2","0","d","6","y","2937"
"1","2","0","d","6","space","4168"
"1","2","0","d","6","space","4255"
"1","2","0","d","6","space","2787"
"1","2","0","d","6","n","1641"
"1","2","0","d","6","space","2672"
"1","2","0","d","6","space","3874"
"1","2","0","d","6","n","1706"
"1","2","0","d","6","space","2878"
"","","1","d","6","d","6906"
"","","1","c","6","c","7424"
"","","1","d","6","d","9437"
"","","1","d","6","d","9381"
"2","2","0","d","7","space","1136"
"2","2","0","d","7","space","8204"
"2","2","0","d","7","space","3105"
"2","2","0","d","7","space","2952"
"2","2","0","d","7","space","4001"
"2","2","0","d","7","n","1882"
"2","2","0","d","7","space","1218"
"2","2","0","d","7","space","2076"
"2","2","0","d","7","space","2392"
"2","2","0","d","7","space","4846"
"2","2","0","d","7","space","2674"
"2","2","0","d","7","space","1704"
"2","2","0","d","7","space","6572"
"2","2","0","d","7","space","3038"
"2","2","0","d","7","space","1075"
"2","2","0","d","7","space","3535"
"2","2","0","d","7","space","6683"
"2","2","0","d","7","space","4785"
"2","2","0","d","7","n","1862"
"","","1","a","7","a","17371"
"","","0","a","7","b","11665"
"","","1","b","7","b","10398"
"","","1","c","7","c","9582"
"1","2","0","c","8","space","1096"
"1","2","0","c","8","space","7438"
"1","2","0","c","8","space","9180"
"1","2","0","c","8","space","4239"
"1","2","0","c","8","space","7470"
"1","2","0","c","8","y","2073"
"1","2","0","c","8","space","7570"
"1","2","0","c","8","space","8055"
"1","2","0","c","8","y","1833"
"1","2","0","c","8","space","5285"
"1","2","0","c","8","space","4337"
"1","2","0","c","8","y","1978"
"1","2","0","c","8","space","1714"
"1","2","0","c","8","space","5878"
"","","1","e","8","e","6714"
"","","0","b","8","a","7374"
"","","1","a","8","a","9311"
"","","1","e","8","e","9631"
